Mi az oktatáspolitika?;Az oktatáspolitika egyfajta szakpolitika, azon nézetek célok és intézkedések együttese,amely kijelöli az oktatás és szakképzés fejlesztésének fő irányait mértékeit, és ezeknek megfelelő eszközöket és módszereket biztosít. Nem egységes, olyan részpolitikákra bomlik, amelyek az oktatási rendszer különböző alrendszereihez kötődnek. /pl. közoktatás, szakképzési, felsőoktatási/.;Nem szakpolitika;Kutatási terület;Családpolitika
Mi az oktatáspolitika fő feladata?;a hátrányos körülmények között élő vagy egészségi állapotuk miatt lemaradó A előmozdítása. A fiatalok bevonása az oktatásba, iskolai előmenetelük elősegítése. Ennek eredménye egyrészt a gazdaság és a foglalkoztatás egyidejű növelése, másrészt a társadalmi egyenlőtlenség csökkentése.;Egyenlőtlenségek növelése;Kultúra színvonalának csökkentése;Hazafiatlanság elősegítése
Milyen területhez kapcsolódik az oktatáspolitika?;Szorosan kapcsolódik a népesedéspolitikához, ezek adnak infót a népesség számáról, életkor, és terület szerinti megoszlásáról. Kapcsolata van a gazdaságpolitikával mely a társadalmi,termék elosztását, az oktatás várható anyagi forrásait határozza meg.;Pénzügy;Belügy;Külügy
Mit vezettek be 1990 után az oktatáspolitikában?;A rendszerváltást követően az oktatás is belekerült a demokráciának az új dinamikus erőterébe. Új reform: a Nemzeti Alaptanterv megalkotása és bevezetése.;Sorkatonaság;Diploma nélküli boldogulás;200 IQ
Mi a jelenlegi oktatási intézményrendszer célja?;Legfontosabb feladata, hogy testi-lelki-szellem értelemben is teljességre törekvő fiatalokat neveljen.;Elbutítson;Megkárosítson;Boldogtalanság
Jelenlegi oktatási feladatok?;Az iskolák állami kézbe vétele és a megemelt finanszírozás teremtheti meg az egyenlőséget az oktatási rendszerben. A pedagógus bérek növelésének célja a tanári szakma presztizsének növelése. Megnőtt a pedagógus továbbképzés jelentősége. A Nemzeti Alaptanterv alapvető célként tűzi ki a kognitív fejlődés és annak egyén eléréseinek magas szintű követését;Pénzköltés;Államkassza feltöltése;Tendereztetés
Mi a jelenlegi oktatáspolitika legvitatottabb kérdése?;A jelenlegi oktatáspolitika egyik leggyakrabban vitatott kérdése a tankötelezettség korhatárának csökkentése ill. a szakképzés átalakítása. A két leghangsúlyosabb tendencia a növekvő korai iskolaelhagyók száma és a szakképzésbe kerülő fiataloknak gyorsan elévülő szakmai tudása.;Roma népesség;Ukrán menekültügy;Román vadkutyaprobléma
Mi a Foglalkoztatáspolitika feladata?;a munkaerőpiaci kereslet és a kínálat szabályozása.;nincs feladata;munkatársak keresése;Gazdasági válságok megelőzése
Melyik évben volt Nagy Konstantin Milánói rendelete amellyel végetér a keresztényüldöztetés és egyesül az államn és az egyház?;313;363;300;353
Hogyan működött a középkorban a szegénygondozás?;A kereszténység társadalmi normává teszi az elesetteken való segítést;Az állam teszi társadalmi normává a segítést;Az emberek maguktól is segítenek az elesetteken;Nincs szegénygondozás
Hogyan működtek a középkori szerzetesrendek melyek betegápolással foglalkoztak?;Mindegyik;Kolosorokban szegénygondozás és betegellátás;Megjelennek a polgári betegápoló rendek;XIV.sz vendégfogadók lassan elkülönülnek az árva és lelencházak,Alexandria öregek háza
Kik a Hospitaliták?;Férfi és női szerzetesrendek, társulatok amelyek betegek, szegénységek gondozásával foglalkozottak a 12.sz.-tól;Férfi szerzetesrendek, társulatok amelyek betegek, szegénységek gondozásával foglalkozottak a 12.sz.-tól;női szerzetesrendek, társulatok amelyek betegek, szegénységek gondozásával foglalkozottak a 12.sz.-tól;Egyik sem
Hogyan jönnek létre a kórházak?;Keresztes hadjáratok->fejlődés->céhrendszer->egyházra hatással van;Keresztes hadjáratok miatt;Maguktól;Céhek hozták létre
Középkor végén hogyan változik a szegénygondozás?;Megszűnik a kizárólagos szegénygondozás, átveszi a városi, községi szabályozás, gondozás;Az egyház kezében marad;Az állam kezébe kerül;Megszűnik
Hogyan születik meg a gyerekvédelem?;Reformáció (újkor kezdete): eredményeként megszűntek katolikus szervezetek, polgári fejlődés elhozza a szociális gondoskodás új formáját;Reformáció (újkor kezdete): eredményeként létrejöttek katolikus szervezetek, polgári fejlődés elhozza a szociális gondoskodás új formáját;Egyik sem;Mindkettő
Mi a 15.-16. század dilemmája?;Szoc gondozásból kiesett szegények ügye;Szoc gondozás finanszírozása;Szoc gondozás kiépítése;Szoc gondozás megszűntetése
Mi a relatív szegénység?;Valamihez viszonyított szegénység, ez a középkorban nem probléma;Amikor külső segítség nélkül bizonyos emberek nem képesek önmaguk fenntartására (Pauperek:koldusok, csavargók);Egyik sem;Mindkettő
Mi az abszolút szegénység?;Amikor külső segítség nélkül bizonyos emberek nem képesek önmaguk fenntartására (Pauperek:koldusok, csavargók);Valamihez viszonyított szegénység, ez a középkorban nem probléma;Egyik sem;Mindkettő
Mik az új, makroszintű kezelés eszközei?;Mindkettő;Fizikai mivoltukban való megsemmisítésük, felakasztás, VIII. Henrik;Probléma izolálása,átnevelés, szankció házasság tilos, koldusjelvény;Egyik sem
Miről szól I. Erzsébet Első Szegénytörvénye(1601)?;Mindegyik;A szegényügyet állami feladattá nyilvánította, helyi közösségekre hárítja a feladatok intézését, finanszírozását; Munka elvének védelme;Rendszeres szegényadó,Szegények osztályozása;Szegényügyi szervezetek létrehozása
Mik voltak az első szegénytörvény szegénysegélyezési alapelvei?;Mindegyik;Szükségesség;Minimum;Hátrány
Mik voltak a szegények segélyektől való távoltartásának eszközei?;Mindegyik;Politikai jogok elvesztése;Segélyek odaítélésének bürökratikus eljárása;Dologházakba zárás ahol megvizsgálták akar-e dolgozni
Melyik évben hozták létre a dologház rendszerét angliában?;1697;1601;1782;1795
Mik az 1782 Gilbert Act rendelkezései?;Mindegyik;Workhouseban sak munkaképteleneket helyezik el;Testhouseok létrehozása a munkaképesek számára;Kiépítik szegényeknek saját otthonaikban való segítségének hálózatát;6éven aluli gyermekeket beogadó családoknál helyezik el
Mi a Speenhamland rendszer 1795?;Negatív jövedelemadó, élethez való jog deklarálása;Pozitív jövedelemadó;Abszolút jövedelemadó;Relatív jövedelemadó
Mikor volt és miről szólt az új, II. Szegénytörvény?;Mindegyik;1834: Viszonyult az első szegénytörvényhez;1834:Kiindulópontja hogy minden szegény egyénileg felelős sorsáért;1834:Angliában Zárt rendszerben történt a szegénygondozás
Mi a helyzet a németországi szegénypolitikával 1824ben?;Mind;Szegényügy szabályozó jogrendszer átalakulása;XIX. sz. végére No. gazdasági, társadalmi változások, ipari állam, egyre több szegény, ipari munkásság magas szintű szegénypolitikát követel;Állami szociálpolitika kialakul
Milyen szintjei vannak az 1870-es német birodalmi szegénytörvénynek?;Alap és tartományi szint;Községi és állami szint;Tartományi szint;Alapszint
Milyen zárt szegénygondozási formák vannak németországban XIX.sz.?;Mindegyik;Szegény és árvaház;Elhagyatott gyermekek menhelye;Gyógyintézetek, fertőző betegek kórháza
Jellemezze az ELBERFELDI rendszert (1852)!;Mindegyik;Egyik sem; 4 család 1 szegénygyámhoz tartozott később kerületekre körzetekre oszlik a város, szegénygyámok nem fizetett emberek, minden rétegből, kerületenként fizetett felügyelők;Végső döntés: szegényügyi hatóság+bizottság, PREVENTÍV jelleg: szegények felkutatása
Milyen a nyílt szegénygondozás Németországban XIX.sz.?;Mindegyik;Gondozás előfeltétele a segélyreszorultság, lakhelyükön támogatott családok;Individualizált jelleg:személyre szabott;Többféle szisztéma, elberfeldi, strassburgi, frankfurti, elrettentés:néhány dologház
Milyen a francia szegénygondozás?;Mindegyik;Egyház indítja el - Szent Vince, magánjótékonykodás;1544: szegényügyi hivatal: beszáll az állam, szegénydíj, állam felügyeli a magánjótékonykodást;1796: törvény jótékonykodási irodák: nyílt szegénygondozás szervei;1895:kötelező betegápolásról szóló törvény, segélyezés feltétele községi illetőség
Milyen az olasz szegénygondozás?;Mindegyik;Leghosszabb egyházi gondoskodás, franciák vezetik be a községi szegénygondozást;1862 - 1890. törvények szabályozzák az állami szeg.gondozást;Sok alapítvány, kórház,ifjűság nevelése, iskolák Don Bosco
Milyen a szegénység társadalmi megítélése?;Mindegyik;Egyik sem;Morális szegénység illetve Pauperizmus: külső segítség nélkül képtelen önmagát elfogadható szinten eltartani;Társadalmi szegénység: társadalmi egyenlőtlenség, függési viszony
Mi a szegénység fogalma?;Mindegyik;társadalmi hierarchiai LEGALJÁN LÉVŐ CSOPORT, társadalmi javak minimumából részesednek hogy alacsony presztizsű munkát végezhessenek amelyekre a társadalomnak SZÜKSÉGE VAN, de más nem hajlandó elvégezni;Egyik sem;Azok a rétegek akik tartósan kirekedtek a munkaerőpiacról, de a társ.-i javak minimumában segélyekben részesítik a társ.-i béke révén
Mi a szegénység Townsend-i meghatározása?;Az egyén a család a népesség egyes csoportjai nem rendelkeznek elegendő forrással ahhoz hogy úgy táplálkozzanak olyan tevékenységekben vegyenek részt, olyan életfeltételekhez és javakhoz jussanak amelyek társadalmakban szokásosak;Az egyén a család a népesség egyes csoportjai rendelkeznek elegendő forrással ahhoz hogy úgy táplálkozzanak olyan tevékenységekben vegyenek részt, olyan életfeltételekhez és javakhoz jussanak amelyek társadalmakban szokásosak;Nem létezik szegénység;A szegénység a nyomorban élőket jelenti
Mik a szegénység típusai?;Mind;Abszolút szegénység: létminimum alatt élők, fogyasztói kosárhoz mér - minimum szükséglethalmaz, nem veszi figyelembe a források eloszlását;Relatív szegénység:erősen elmaradnak a társadalom átlagától;Underclass: tartós nyomorban élők, térbeli szegregáció, önmaguk reprodukciója
A jóléti állam meghatározása?;A jóléti állam meghatározása:Olyan folyamat, mikor az állam társadalomban játszott szerepe átalakul, az elnyomásból jóléti gondoskodás alakul ki, s az állam által garantált létbiztonság kiterjed a „bölcsőtől a sírig”.;Olyan állam ami ingyen etet;Olyan állam amiben ingyen van a gáz és az áram;Jó-léti ál-lam amelyben buli élni
A jóléti állam fokozatosan alakult ki..;A második világháborút követő néhány évtized a tulajdonképpeni jóléti állam kiépülésének időszaka.Ezt, az 1980-ig terjedő periódust a társadalombiztosítási rendszer kiteljesedése, a biztosítottak körének kiszélesedése, illetve az állam által átvállalt feladatkörök növekedése jellemzi. A jóléti állam szereplői nem meghatározott társadalmi rétegek, hanem a társadalom minden egyes tagja.;Az ókortól kezdve;A középkortól kezdve;Az újkortól kezdve
A jóléti állami jellemzői?;Mind;Egyik sem;- elismeri az egyén/család jövedelemhez való „jogát” - átfogó állami gondoskodást, szociális ellátásokat biztosít;- a rászorulóknak rögzített színvonalú ellátást nyújt - szükségletek tágabb körét célozza meg - segélyezés helyett jogokat biztosít
A jóléti állam kialakulása és fejlődése: Jogi magyarázat?;- centralizált nemzetállamok létrejötte- civil, politikai és szociális jogok intézményesítése hozta létre a jóléti államot.;Multikulturális államok létrejötte;Harmadikvilágbeli struktúrák legitimációja;Királyok dinasztiájának továbbörökítése újkori struktúrákba
A jóléti állam kialakulása és fejlődése: Gazdasági magyarázat?;Mindkettő;Egyik sem;- a jóléti állam az iparosodás, a gazdasági fejlődés terméke, az ipari társadalom által keltett új szükségletekre adott állami válasz.;- ösztönzi az államot, hogy szolgáltasson munkaerőt, állami oktatási rendszert építsen ki
A jóléti állam kialakulása és fejlődése: Politikai magyarázat?;Mindkettő;Egyik sem;- egy politikai mozgalom (szociáldemokraták) alakította ki;- cél: szocializmus megvalósítása, kapitalizmus eltörlése
A jóléti állam fejlődése: 3 síkon vizsgáljuk. mik ezek?;Mind;1. Eszmetörténeti sík;2. Társadalomtörténeti sík;3. Fejlődési szakaszok
A jóléti állam fejlődése: 3 síkon vizsgáljuk: 1. Eszmetörténeti sík...;Mind;Egyik sem;- a jóléti állam a politikai és a civil állam közti változás - a XVIII. században a korábbi időszakokhoz képest koncentráltabb állami hatalom jön létre. - meg kell osztani a hatalmat, külön kell választani a törvényhozó, végrehajtó és igazságszolgáltató hatalmat - az állam tevékenységét ellenőrzésnek kell alávetni; - szűkíteni kell az állam tevékenységi körét, ne szóljon bele a magántulajdonba. - XIX. sz. eleje: beszűkített állami tevékenység, Éjjeliőr állam: semmibe ne szóljon bele, de ha baj van, hárítsa el a veszélyt.
A jóléti állam fejlődése: 3 síkon vizsgáljuk: 2.Társadalomtörténeti sík:..;Mind;- Modernizáció: o társadalmi váltás történik 2 o agrár jellegű társadalom – ipari társadalom, paraszt – munkás o az ipari munkásság az állam segítségére szorul; - Legitimációs kényszer: (a nép fogadja el az éppen aktuális kormányt o képviselők, kormányzók feladata a rendszer elfogadtatása o belső kihívás: szociáldemokrácia megvalósítása; - Politikai stratégia: o a szociáldemokrata pártok a jóléti államot akarják felépíteni. o probléma: szocializmus (jólét állapota) elérése, DE a kapitalizmus (nagy hal megeszi a kishalat) keretein belül o az elosztási viszonyokat kell egyenlővé tenni a termelés eredményeit kell elosztani
